Durchlauf,Datum,Uhrzeit,Provider,Modell,Test-ID,Testszenario,Eingabe,Erwartetes Ergebnis,Erfolg (Ja/Nein),Latenz (s),Anmerkung
1,18.12.2025,14:23:01,Gemini,gemini-2.5-flash,T1,Event-Erstellung (relativ),Erstelle Event Team Meeting morgen 15 Uhr,Event wird erstellt,Ja,5.8,Event korrekt erstellt
2,18.12.2025,14:25:15,Gemini,gemini-2.5-flash,T1,Event-Erstellung (relativ),Erstelle Event Team Meeting morgen 15 Uhr,Event wird erstellt,Ja,6.1,
3,18.12.2025,14:27:22,Gemini,gemini-2.5-flash,T1,Event-Erstellung (relativ),Erstelle Event Team Meeting morgen 15 Uhr,Event wird erstellt,Ja,5.9,
4,18.12.2025,14:29:33,Gemini,gemini-2.5-flash,T1,Event-Erstellung (relativ),Erstelle Event Team Meeting morgen 15 Uhr,Event wird erstellt,Ja,6.3,
5,18.12.2025,14:31:45,Gemini,gemini-2.5-flash,T1,Event-Erstellung (relativ),Erstelle Event Team Meeting morgen 15 Uhr,Event wird erstellt,Ja,5.7,
6,18.12.2025,14:34:02,Gemini,gemini-2.5-flash,T2,Event-Erstellung (Wochentag),Erstelle Workshop nächsten Montag 18 Uhr,Korrekter Montag berechnet,Ja,5.6,Montag korrekt erkannt
7,18.12.2025,14:36:18,Gemini,gemini-2.5-flash,T2,Event-Erstellung (Wochentag),Erstelle Workshop nächsten Montag 18 Uhr,Korrekter Montag berechnet,Ja,5.9,
8,18.12.2025,14:38:30,Gemini,gemini-2.5-flash,T2,Event-Erstellung (Wochentag),Erstelle Workshop nächsten Montag 18 Uhr,Korrekter Montag berechnet,Ja,5.4,
9,18.12.2025,14:40:41,Gemini,gemini-2.5-flash,T2,Event-Erstellung (Wochentag),Erstelle Workshop nächsten Montag 18 Uhr,Korrekter Montag berechnet,Ja,6.0,
10,18.12.2025,14:42:55,Gemini,gemini-2.5-flash,T2,Event-Erstellung (Wochentag),Erstelle Workshop nächsten Montag 18 Uhr,Korrekter Montag berechnet,Ja,5.8,
11,18.12.2025,14:45:10,Gemini,gemini-2.5-flash,T3,Event-Liste abrufen,Zeige alle kommenden Events,Liste wird angezeigt,Ja,4.1,3 Events angezeigt
12,18.12.2025,14:47:22,Gemini,gemini-2.5-flash,T3,Event-Liste abrufen,Zeige alle kommenden Events,Liste wird angezeigt,Ja,4.3,
13,18.12.2025,14:49:35,Gemini,gemini-2.5-flash,T3,Event-Liste abrufen,Zeige alle kommenden Events,Liste wird angezeigt,Ja,4.0,
14,18.12.2025,14:51:48,Gemini,gemini-2.5-flash,T3,Event-Liste abrufen,Zeige alle kommenden Events,Liste wird angezeigt,Ja,4.4,
15,18.12.2025,14:54:01,Gemini,gemini-2.5-flash,T3,Event-Liste abrufen,Zeige alle kommenden Events,Liste wird angezeigt,Ja,4.2,
16,18.12.2025,14:56:15,Gemini,gemini-2.5-flash,T4,Event löschen,Lösche das Event Team Meeting,Event wird gelöscht,Ja,5.0,Event erfolgreich gelöscht
17,18.12.2025,14:58:28,Gemini,gemini-2.5-flash,T4,Event löschen,Lösche das Event Team Meeting,Event wird gelöscht,Ja,5.3,
18,18.12.2025,15:00:40,Gemini,gemini-2.5-flash,T4,Event löschen,Lösche das Event Team Meeting,Event wird gelöscht,Ja,4.9,
19,18.12.2025,15:02:52,Gemini,gemini-2.5-flash,T4,Event löschen,Lösche das Event Team Meeting,Event wird gelöscht,Ja,5.5,
20,18.12.2025,15:05:05,Gemini,gemini-2.5-flash,T4,Event löschen,Lösche das Event Team Meeting,Event wird gelöscht,Ja,5.1,
21,18.12.2025,15:07:18,Gemini,gemini-2.5-flash,T5,Nachricht senden,Sende 'Hallo Team' in general,Nachricht erscheint,Ja,4.4,Nachricht in #general sichtbar
22,18.12.2025,15:09:30,Gemini,gemini-2.5-flash,T5,Nachricht senden,Sende 'Hallo Team' in general,Nachricht erscheint,Ja,4.6,
23,18.12.2025,15:11:42,Gemini,gemini-2.5-flash,T5,Nachricht senden,Sende 'Hallo Team' in general,Nachricht erscheint,Ja,4.3,
24,18.12.2025,15:13:55,Gemini,gemini-2.5-flash,T5,Nachricht senden,Sende 'Hallo Team' in general,Nachricht erscheint,Ja,4.7,
25,18.12.2025,15:16:08,Gemini,gemini-2.5-flash,T5,Nachricht senden,Sende 'Hallo Team' in general,Nachricht erscheint,Ja,4.5,
26,18.12.2025,15:18:20,Gemini,gemini-2.5-flash,T6,Server-Info abrufen,Zeige Server-Informationen,Info wird angezeigt,Ja,3.8,Alle Infos korrekt
27,18.12.2025,15:20:32,Gemini,gemini-2.5-flash,T6,Server-Info abrufen,Zeige Server-Informationen,Info wird angezeigt,Ja,4.0,
28,18.12.2025,15:22:45,Gemini,gemini-2.5-flash,T6,Server-Info abrufen,Zeige Server-Informationen,Info wird angezeigt,Ja,3.7,
